instrument_id,binance_symbol,cmc_lookup_symbol,binance_asset_name,candidate_cmc_ids,category,recommended_cmc_id,recommended_cmc_slug,rationale,next_evidence
ethusdt_210924,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_211231,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_220325,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_220624,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_220930,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_221230,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_230331,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_230630,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_230929,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_231229,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_240329,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_240628,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_240927,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_241227,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_250328,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_250627,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_250926,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_251226,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_260327,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_260626,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_260925,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
ethusdt_261225,ETH,ETH,Ethereum,1027|39555,easy-to-resolve,1027,ethereum,Binance asset name “Ethereum” selects the native asset over the bridged NEAR representation.,"Record a manual alias/override, then attach the CMC ID."
googlusdt,GOOGL,GOOGL,,39470|39622|40757,hard-to-resolve,,,Competing Alphabet tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
homeusdt,HOME,HOME,Defi App,,easy-to-resolve,36133,defi-app,Binance asset name “Defi App” exactly identifies DeFi App; the candidate is absent from the supplied history.,"Record a manual alias/override, then attach the CMC ID."
hoodusdt,HOOD,HOOD,,39478|39625,hard-to-resolve,,,Competing Robinhood tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
hotusdt,HOT,HOT,Holo,2430|2682,easy-to-resolve,2682,holo,Binance asset name “Holo” exactly identifies Holo over Hydro Protocol.,"Record a manual alias/override, then attach the CMC ID."
lightusdt,LIGHT,LIGHT,,37986|38506,hard-to-resolve,,,No Binance asset identity and two price-compatible projects; contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
mavusdt,MAV,MAV,Maverick Protocol,18037|19642,easy-to-resolve,18037,maverick-protocol,Binance asset name “Maverick Protocol” exactly identifies Maverick Protocol over Massive Protocol.,"Record a manual alias/override, then attach the CMC ID."
memeusdt,MEME,MEME,Memecoin,1191|18938|28301,easy-to-resolve,28301,meme,Binance asset name “Memecoin” identifies the CMC Meme asset over Memetic and Memeverse.,"Record a manual alias/override, then attach the CMC ID."
metausdt,META,META,,39513|39615|40780,hard-to-resolve,,,Competing Meta tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
monusdt,MON,MON,,5066|30495,hard-to-resolve,,,No Binance asset identity and two price-compatible projects; contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
msftusdt,MSFT,MSFT,,39495|39616|40695,hard-to-resolve,,,Competing Microsoft tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
muusdt,MU,MU,,39469|40817,hard-to-resolve,,,Competing Micron tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
neiroethusdt,NEIROETH,NEIRO,First Neiro On Ethereum,32521|32985,easy-to-resolve,32521,neiro,Binance asset name “First Neiro On Ethereum” selects Neiro over the TRX variant.,"Record a manual alias/override, then attach the CMC ID."
neirousdt,NEIRO,NEIRO,First Neiro On Ethereum,32521|32985,easy-to-resolve,32521,neiro,Binance asset name “First Neiro On Ethereum” selects Neiro over the TRX variant.,"Record a manual alias/override, then attach the CMC ID."
nightusdt,NIGHT,NIGHT,Midnight,31374|39064,easy-to-resolve,39064,midnight-network,Binance asset name “Midnight” selects Midnight Network over Midnight VIP.,"Record a manual alias/override, then attach the CMC ID."
nvdausdt,NVDA,NVDA,,38153|40685,hard-to-resolve,,,Competing Nvidia tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
peopleusdt,PEOPLE,PEOPLE,ConstitutionDAO,14806|32079,easy-to-resolve,14806,constitutiondao,Binance asset name “ConstitutionDAO” exactly identifies ConstitutionDAO over MAGA PeopleToken.,"Record a manual alias/override, then attach the CMC ID."
qqqusdt,QQQ,QQQ,,39517|39623,hard-to-resolve,,,Competing QQQ tokenized-ETF issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
skhyusdt,SKHY,SKHY,,,hard-to-resolve,,,No candidate price history or Binance asset identity is available; issuer/contract evidence is required.,"Obtain issuer, network, and contract-address evidence before mapping."
sndkusdt,SNDK,SNDK,,,hard-to-resolve,,,No candidate price history or Binance asset identity is available; issuer/contract evidence is required.,"Obtain issuer, network, and contract-address evidence before mapping."
solbusd,SOL,SOL,Solana,5426|16116,easy-to-resolve,5426,solana,Binance asset name “Solana” selects native Solana over Wrapped Solana.,"Record a manual alias/override, then attach the CMC ID."
solusdc,SOL,SOL,Solana,5426|16116,easy-to-resolve,5426,solana,Binance asset name “Solana” selects native Solana over Wrapped Solana.,"Record a manual alias/override, then attach the CMC ID."
solusdt,SOL,SOL,Solana,5426|16116,easy-to-resolve,5426,solana,Binance asset name “Solana” selects native Solana over Wrapped Solana.,"Record a manual alias/override, then attach the CMC ID."
spcxusdt,SPCX,SPCX,,39501|40238,hard-to-resolve,,,Competing SpaceX tokenized-stock issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
spyusdt,SPY,SPY,,39621|39732|40694,hard-to-resolve,,,Competing SPY tokenized-ETF issuers; issuer or contract address is required.,"Obtain issuer, network, and contract-address evidence before mapping."
strkusdt,STRK,STRK,Starknet Token,8911|22691,easy-to-resolve,22691,starknet-token,Binance asset name “Starknet Token” exactly identifies Starknet over Strike.,"Record a manual alias/override, then attach the CMC ID."
tutusdt,TUT,TUT,Tutorial,14349|35892,easy-to-resolve,35892,tutorial,Binance asset name “Tutorial” exactly identifies Tutorial over Tutellus.,"Record a manual alias/override, then attach the CMC ID."
ustcusdt,USTC,USTC,TerraClassicUSD,7129|15610,easy-to-resolve,7129,terrausd,Binance asset name “TerraClassicUSD” selects TerraUSD Classic over the Wormhole representation.,"Record a manual alias/override, then attach the CMC ID."
